"id","name","longitude","latitude","weigth"
"357","E 11 St & Broadway","-73.9916","40.7326","2750"
"391","Clark St & Henry St","-73.9934","40.6976","2744"
"79","Franklin St & W Broadway","-74.0067","40.7191","2734"
"247","Perry St & Bleecker St","-74.0048","40.7354","2720"
"254","W 11 St & 6 Ave","-73.998","40.7353","2687"
"296","Division St & Bowery","-73.997","40.7141","2664"
"3173","Riverside Blvd & W 67 St","-73.9889","40.7775","2659"
"350","Clinton St & Grand St","-73.987","40.7156","2648"
"3295","Central Park W & W 96 St","-73.9648","40.7913","2615"
"3349","Grand Army Plaza & Plaza St West","-73.9709","40.673","2614"
"3166","Riverside Dr & W 72 St","-73.9856","40.7806","2592"
"427","Bus Slip & State St","-74.0139","40.7019","2590"
"460","S 4 St & Wythe Ave","-73.9659","40.7129","2587"
"513","W 56 St & 10 Ave","-73.9886","40.7683","2542"
"311","Norfolk St & Broome St","-73.988","40.7172","2524"
"3360","Amsterdam Ave & W 79 St","-73.9787","40.7829","2521"
"3431","E 35 St & 3 Ave","-73.9779","40.7465","2512"
"386","Centre St & Worth St","-74.0023","40.7149","2504"
"3136","5 Ave & E 63 St","-73.9715","40.7664","2497"
"306","Cliff St & Fulton St","-74.0053","40.7082","2468"
"3107","Bedford Ave & Nassau Ave","-73.9521","40.7231","2464"
"3161","W 76 St & Columbus Ave","-73.9773","40.7802","2442"
"150","E 2 St & Avenue C","-73.9809","40.7209","2439"
"276","Duane St & Greenwich St","-74.0105","40.7175","2434"
"2023","E 55 St & Lexington Ave","-73.9703","40.7597","2423"
"316","Fulton St & William St","-74.0065","40.7096","2417"
"3112","Milton St & Franklin St","-73.9578","40.7291","2404"
"3457","E 58 St & Madison Ave","-73.9721","40.763","2378"
"3119","Vernon Blvd & 50 Ave","-73.9541","40.7423","2376"
"3155","Lexington Ave & E 63 St","-73.9665","40.7644","2364"
"330","Reade St & Broadway","-74.0056","40.7145","2356"
"295","Pike St & E Broadway","-73.9929","40.7141","2328"
"308","St James Pl & Oliver St","-73.9985","40.7131","2316"
"3235","E 41 St & Madison Ave","-73.9799","40.7522","2289"
"323","Lawrence St & Willoughby St","-73.9863","40.6924","2261"
"3423","West Drive & Prospect Park West","-73.9795","40.6611","2232"
"3176","W 64 St & West End Ave","-73.9875","40.7745","2232"
"3092","Berry St & N 8 St","-73.9585","40.719","2229"
"3226","W 82 St & Central Park West","-73.9714","40.7827","2212"
"351","Front St & Maiden Ln","-74.0061","40.7053","2203"
"449","W 52 St & 9 Ave","-73.9879","40.7646","2200"
"3464","W 37 St & Broadway","-73.9877","40.7523","2198"
"264","Maiden Ln & Pearl St","-74.0073","40.7071","2164"
"143","Clinton St & Joralemon St","-73.9934","40.6924","2156"
"415","Pearl St & Hanover Square","-74.0093","40.7047","2127"
"3323","W 106 St & Central Park West","-73.9606","40.7982","2114"
"454","E 51 St & 1 Ave","-73.9659","40.7546","2112"
"3418","Plaza St West & Flatbush Ave","-73.9711","40.675","2094"
"3129","Queens Plaza North & Crescent St","-73.9407","40.7511","2094"
"376","John St & William St","-74.0072","40.7086","2042"
"422","W 59 St & 10 Ave","-73.988","40.7705","2035"
"3285","W 87 St  & Amsterdam Ave","-73.9747","40.7884","2021"
"2000","Front St & Washington St","-73.9894","40.7025","2009"
"3462","E 44 St & 2 Ave","-73.9714","40.7512","2009"
"360","William St & Pine St","-74.0089","40.7072","2000"
"3440","Fulton St & Adams St","-73.9895","40.6924","2000"
"3447","E 71 St & 1 Ave","-73.9562","40.767","1978"
"406","Hicks St & Montague St","-73.9959","40.6951","1977"
"3458","W 55 St & 6 Ave","-73.9783","40.7631","1975"
"3151","E 81 St & York Ave","-73.9499","40.7728","1968"
"3305","E 91 St & 2 Ave","-73.9497","40.7811","1967"
"157","Henry St & Atlantic Ave","-73.9961","40.6909","1944"
"249","Harrison St & Hudson St","-74.009","40.7187","1940"
"3134","3 Ave & E 62 St","-73.9653","40.7631","1939"
"224","Spruce St & Nassau St","-74.0055","40.7115","1937"
"3402","Court St & State St","-73.992","40.6902","1932"
"393","E 5 St & Avenue C","-73.98","40.723","1930"
"3314","W 95 St & Broadway","-73.9719","40.7938","1926"
"389","Broadway & Berry St","-73.9652","40.7104","1913"
"342","Columbia St & Rivington St","-73.9802","40.7174","1907"
"3086","Graham Ave & Conselyea St","-73.9445","40.7151","1900"
"392","Jay St & Tech Pl","-73.9872","40.6951","1898"
"414","Pearl St & Anchorage Pl","-73.9877","40.7028","1892"
"321","Cadman Plaza E & Red Cross Pl","-73.9897","40.6999","1891"
"302","Avenue D & E 3 St","-73.9779","40.7208","1890"
"3169","Riverside Dr & W 82 St","-73.9813","40.7872","1878"
"3162","W 78 St & Broadway","-73.9809","40.7834","1877"
"481","S 3 St & Bedford Ave","-73.9626","40.7126","1850"
"534","Water - Whitehall Plaza","-74.0127","40.7025","1808"
"349","Rivington St & Ridge St","-73.9833","40.7185","1794"
"340","Madison St & Clinton St","-73.9878","40.7127","1786"
"411","E 6 St & Avenue D","-73.9767","40.7223","1779"
"3362","Madison Ave & E 82 St","-73.9607","40.7781","1764"
"398","Atlantic Ave & Furman St","-74","40.6917","1755"
"366","Clinton Ave & Myrtle Ave","-73.9689","40.6933","1748"
"3301","Columbus Ave & W 95 St","-73.9681","40.792","1748"
"384","Fulton St & Washington Ave","-73.9649","40.683","1748"
"239","Willoughby St & Fleet St","-73.9813","40.692","1744"
"3113","Greenpoint Ave & Manhattan Ave","-73.9539","40.7303","1744"
"291","Madison St & Montgomery St","-73.9848","40.7131","1735"
"356","Bialystoker Pl & Delancey St","-73.9826","40.7162","1728"
"467","Dean St & 4 Ave","-73.979","40.6831","1719"
"3148","E 84 St & 1 Ave","-73.9507","40.7757","1717"
"232","Cadman Plaza E & Tillary St","-73.9902","40.696","1713"
"3416","7 Ave & Park Pl","-73.9732","40.6776","1713"
"3243","E 58 St & 1 Ave","-73.9623","40.7589","1711"
"324","DeKalb Ave & Hudson Ave","-73.981","40.6899","1709"
"314","Cadman Plaza West & Montague St","-73.9905","40.6938","1694"
"3293","W 92 St & Broadway","-73.9739","40.7921","1689"
"3320","Central Park West & W 100 St","-73.9636","40.7934","1686"
"3178","Riverside Dr & W 78 St","-73.9836","40.7841","1685"
"2009","Catherine St & Monroe St","-73.9968","40.7112","1684"
"516","E 47 St & 1 Ave","-73.9678","40.7521","1669"
"3145","E 84 St & Park Ave","-73.9577","40.7786","1652"
"332","Cherry St","-73.9795","40.7122","1646"
"3135","E 75 St & 3 Ave","-73.9577","40.7711","1643"
"3292","5 Ave & E 93 St","-73.9575","40.7858","1638"
"3350","W 100 St & Broadway","-73.9704","40.7974","1632"
"3078","Broadway & Roebling St","-73.9606","40.7092","1631"
"337","Old Slip & Front St","-74.0084","40.7038","1631"
"3318","2 Ave & E 96 St","-73.9472","40.784","1630"
"3139","E 72 St & Park Ave","-73.9641","40.7712","1602"
"3288","E 88 St & 1 Ave","-73.9488","40.7783","1577"
"3146","E 81 St & 3 Ave","-73.9567","40.7757","1577"
"390","Duffield St & Willoughby St","-73.9843","40.6922","1575"
"3238","E 80 St & 2 Ave","-73.9544","40.7739","1573"
"3110","Meserole Ave & Manhattan Ave","-73.953","40.7271","1570"
"3367","5 Ave & E 103 St","-73.9525","40.7923","1549"
"260","Broad St & Bridge St","-74.0117","40.7037","1535"
"341","Stanton St & Mangin St","-73.9763","40.7178","1531"
"3336","E 97 St & Madison Ave","-73.9536","40.7878","1525"
"3096","Union Ave & N 12 St","-73.9524","40.7192","1523"
"3172","W 74 St & Columbus Ave","-73.9775","40.7786","1516"
"3378","E 76 St & Park Ave","-73.9622","40.7738","1498"
"3307","West End Ave & W 94 St","-73.9741","40.7942","1471"
"3283","W 89 St & Columbus Ave","-73.9704","40.7882","1466"
"3150","E 85 St & York Ave","-73.948","40.7754","1466"
"3354","3 St & Prospect Park West","-73.9736","40.6681","1461"
"3286","E 89 St & 3 Ave","-73.9522","40.7806","1460"
"3180","Brooklyn Bridge Park - Pier 2","-73.9971","40.6988","1454"
"3290","E 89 St & York Ave","-73.946","40.7779","1453"
"3116","Huron St & Franklin St","-73.9583","40.7327","1446"
"258","DeKalb Ave & Vanderbilt Ave","-73.9689","40.6894","1438"
"270","Adelphi St & Myrtle Ave","-73.9718","40.6931","1437"
"282","Kent Ave & S 11 St","-73.9684","40.7076","1429"
"3331","Riverside Dr & W 104 St","-73.9711","40.8013","1428"
"310","State St & Smith St","-73.9891","40.6893","1420"
"3382","Carroll St & Smith St","-73.9948","40.6806","1419"
"3101","N 12 St & Bedford Ave","-73.9548","40.7208","1413"
"331","Pike St & Monroe St","-73.9919","40.7117","1410"
"434","9 Ave & W 18 St","-74.0037","40.7432","1401"
"3108","Nassau Ave & Russell St","-73.9443","40.7256","1396"
"274","Lafayette Ave & Fort Greene Pl","-73.9767","40.6869","1381"
"242","Carlton Ave & Flushing Ave","-73.9737","40.6978","1380"
"3400","E 110 St & Madison Ave","-73.9478","40.7962","1374"
"3087","Metropolitan Ave & Meeker Ave","-73.9523","40.7141","1368"
"395","Bond St & Schermerhorn St","-73.9841","40.6881","1363"
"3356","Amsterdam Ave & W 66 St","-73.9847","40.7747","1356"
"3368","5 Ave & 3 St","-73.9835","40.6728","1349"
"408","Market St & Cherry St","-73.994","40.7108","1349"
"437","Macon St & Nostrand Ave","-73.9501","40.681","1339"
"3242","Schermerhorn St & Court St","-73.9918","40.691","1339"
"3152","3 Ave & E 71 St","-73.9612","40.7687","1337"
"3115","India St & Manhattan Ave","-73.9551","40.7323","1322"
"244","Willoughby Ave & Hall St","-73.9654","40.692","1304"
"3085","Roebling St & N 4 St","-73.9574","40.7147","1298"
"3315","Henry St & Degraw St","-73.9992","40.6847","1285"
"3351","E 102 St & 1 Ave","-73.9417","40.787","1272"
"261","Johnson St & Gold St","-73.9836","40.6947","1268"
"266","Avenue D & E 8 St","-73.9757","40.7237","1263"
"241","DeKalb Ave & S Portland Ave","-73.9749","40.6898","1255"
"416","Cumberland St & Lafayette Ave","-73.9726","40.6875","1253"
"3232","Bond St & Fulton St","-73.983","40.6896","1252"
"3082","Hope St & Union Ave","-73.9514","40.7117","1230"
"399","Lafayette Ave & St James Pl","-73.9648","40.6885","1228"
"471","Grand St & Havemeyer St","-73.957","40.7129","1228"
"396","Lefferts Pl & Franklin Ave","-73.9558","40.6803","1221"
"3438","E 76 St & 3 Ave","-73.9584","40.7722","1211"
"3064","Myrtle Ave & Lewis Ave","-73.9376","40.6968","1209"
"3109","Banker St & Meserole Ave","-73.9562","40.7261","1207"
"83","Atlantic Ave & Fort Greene Pl","-73.9763","40.6838","1200"
"313","Washington Ave & Park Ave","-73.9675","40.6961","1197"
"3346","Berkeley Pl & 7 Ave","-73.9752","40.6751","1195"
"343","Clinton Ave & Flushing Ave","-73.9699","40.6979","1189"
"3074","Montrose Ave & Bushwick Ave","-73.9402","40.7077","1188"
"3376","E 65 St & 2 Ave","-73.9622","40.7647","1182"
"3298","Warren St & Court St","-73.9938","40.6864","1180"
"3103","N 11 St & Wythe Ave","-73.9578","40.7215","1154"
"3124","46 Ave & 5 St","-73.9545","40.7473","1145"
"3106","Driggs Ave & N Henry St","-73.9431","40.7233","1140"
