"id","name","longitude","latitude","arrival_trips","departure_trips","difference"
"119","Park Ave & St Edwards St","-73.978","40.6961","225","220","5"
"297","E 15 St & 3 Ave","-73.9869","40.7342","5637","5632","5"
"356","Bialystoker Pl & Delancey St","-73.9826","40.7162","1733","1728","5"
"540","Lexington Ave & E 29 St","-73.9822","40.7431","4572","4568","4"
"3111","Norman Ave & Leonard St - 2","-73.9506","40.7258","1058","1054","4"
"3404","7 St & 5 Ave","-73.9854","40.6705","663","659","4"
"3156","E 72 St & York Ave","-73.9535","40.7666","2982","2978","4"
"493","W 45 St & 6 Ave (1)","-73.9829","40.7568","14","10","4"
"3068","Humboldt St & Varet St","-73.9406","40.7032","716","712","4"
"500","Broadway & W 51 St","-73.9834","40.7623","3340","3336","4"
"3405","5 St & 6 Ave","-73.9821","40.6705","538","534","4"
"276","Duane St & Greenwich St","-74.0105","40.7175","2438","2434","4"
"342","Columbia St & Rivington St","-73.9802","40.7174","1910","1907","3"
"353","S Portland Ave & Hanson Pl","-73.9743","40.6854","894","891","3"
"467","Dean St & 4 Ave","-73.979","40.6831","1722","1719","3"
"242","Carlton Ave & Flushing Ave","-73.9737","40.6978","1383","1380","3"
"3061","Throop Ave & Myrtle Ave","-73.9437","40.6962","303","300","3"
"3155","Lexington Ave & E 63 St","-73.9665","40.7644","2367","2364","3"
"3240","NYCBS Depot BAL - DYR","-73.9939","40.759","5","2","3"
"3082","Hope St & Union Ave","-73.9514","40.7117","1232","1230","2"
"3301","Columbus Ave & W 95 St","-73.9681","40.792","1750","1748","2"
"325","E 19 St & 3 Ave","-73.9847","40.7362","3382","3380","2"
"3321","Clinton St & Union St","-73.9979","40.6831","954","952","2"
"3040","GOW Tech Shop","-73.995","40.6698","7","5","2"
"3056","Kosciuszko St & Nostrand Ave","-73.9513","40.6907","567","566","1"
"255","NYCBS Depot - SSP","-74.0165","40.6468","11","10","1"
"167","E 39 St & 3 Ave","-73.9761","40.7489","4433","4432","1"
"408","Market St & Cherry St","-73.994","40.7108","1350","1349","1"
"3315","Henry St & Degraw St","-73.9992","40.6847","1286","1285","1"
"455","1 Ave & E 44 St","-73.9691","40.75","2906","2905","1"
"447","8 Ave & W 52 St","-73.9852","40.7637","4013","4012","1"
"3102","Driggs Ave & Lorimer St","-73.9504","40.7218","1085","1085","0"
"3081","Graham Ave & Grand St","-73.944","40.7119","878","878","0"
"3108","Nassau Ave & Russell St","-73.9443","40.7256","1396","1396","0"
"3249","Verona Pl & Fulton St","-73.9477","40.6804","515","515","0"
"3060","Willoughby Ave & Tompkins Ave","-73.9463","40.6943","422","422","0"
"3239","Bressler","-74.0166","40.6465","2","2","0"
"3455","Schermerhorn St & 3 Ave","-73.9804","40.6868","486","486","0"
"3468","NYCBS Depot - STY - Garage 4","-73.9747","40.7304","3","3","0"
"302","Avenue D & E 3 St","-73.9779","40.7208","1890","1890","0"
"491","E 24 St & Park Ave S","-73.986","40.741","5363","5364","-1"
"389","Broadway & Berry St","-73.9652","40.7104","1912","1913","-1"
"151","Cleveland Pl & Spring St","-73.9972","40.7221","7087","7088","-1"
"3412","Pacific St & Nevins St","-73.983","40.6854","678","679","-1"
"3343","W 107 St & Columbus Ave","-73.9621","40.7998","760","762","-2"
"3054","Greene Ave & Throop Ave","-73.9421","40.6895","488","490","-2"
"454","E 51 St & 1 Ave","-73.9659","40.7546","2110","2112","-2"
"224","Spruce St & Nassau St","-74.0055","40.7115","1935","1937","-2"
"3121","Jackson Ave & 46 Rd","-73.9473","40.7452","499","501","-2"
"3112","Milton St & Franklin St","-73.9578","40.7291","2402","2404","-2"
"3414","Bergen St & Flatbush Ave","-73.9757","40.6809","1119","1122","-3"
"3118","McGuinness Blvd & Eagle St","-73.9528","40.7355","1053","1056","-3"
"3461","Murray St & Greenwich St","-74.0112","40.7149","841","844","-3"
"328","Watts St & Greenwich St","-74.0097","40.7241","3599","3602","-3"
"3319","14 St & 5 Ave","-73.989","40.6663","835","838","-3"
"373","Willoughby Ave & Walworth St","-73.9538","40.6933","528","531","-3"
"147","Greenwich St & Warren St","-74.0112","40.7154","2","5","-3"
"3221","47 Ave & 31 St","-73.9356","40.743","351","355","-4"
"3376","E 65 St & 2 Ave","-73.9622","40.7647","1178","1182","-4"
"3316","W 104 St & Amsterdam Ave","-73.9662","40.799","787","791","-4"
"3049","Cambridge Pl & Gates Ave","-73.963","40.6849","471","475","-4"
